Date,DXY,SPY,VIX
2023-01-03,104.5199966430664,368.1687316894531,22.899999618530273
2023-01-04,104.25,371.010986328125,22.010000228881836
2023-01-05,105.04000091552734,366.7765197753906,22.459999084472656
2023-01-06,103.87999725341797,375.1875,21.1299991607666
2023-01-09,103.0,374.9748229980469,21.969999313354492
2023-01-10,103.23999786376953,377.6044006347656,20.579999923706055
2023-01-11,103.19000244140625,382.38031005859375,21.09000015258789
2023-01-12,102.25,383.7724609375,18.829999923706055
2023-01-13,102.19999694824219,385.2613830566406,18.350000381469727
2023-01-17,102.38999938964844,384.5555419921875,19.360000610351562
2023-01-18,102.36000061035156,378.4842529296875,20.34000015258789
2023-01-19,102.05999755859375,375.7288513183594,20.520000457763672
2023-01-20,102.01000213623047,382.7283935546875,19.850000381469727
2023-01-23,102.13999938964844,387.3205871582031,19.809999465942383
2023-01-24,101.91999816894531,386.90484619140625,19.200000762939453
2023-01-25,101.63999938964844,387.0498962402344,19.079999923706055
2023-01-26,101.83999633789062,391.3036804199219,18.729999542236328
2023-01-27,101.93000030517578,392.2027893066406,18.510000228881836
2023-01-30,102.27999877929688,387.2818908691406,19.940000534057617
2023-01-31,102.0999984741211,392.9762268066406,19.399999618530273
2023-02-01,101.22000122070312,397.1526794433594,17.8700008392334
2023-02-02,101.75,402.9340515136719,18.729999542236328
2023-02-03,102.91999816894531,398.6512451171875,18.329999923706055
2023-02-06,103.62000274658203,396.2148742675781,19.43000030517578
2023-02-07,103.43000030517578,401.39678955078125,18.65999984741211
2023-02-08,103.41000366210938,397.0076599121094,19.6299991607666
2023-02-09,103.22000122070312,393.56591796875,20.709999084472656
2023-02-10,103.62999725341797,394.4844055175781,20.530000686645508
2023-02-13,103.3499984741211,399.115234375,20.34000015258789
2023-02-14,103.2300033569336,398.93157958984375,18.90999984741211
2023-02-15,103.91999816894531,400.22705078125,18.229999542236328
2023-02-16,103.86000061035156,394.7164306640625,20.170000076293945
2023-02-17,103.86000061035156,393.7303161621094,20.020000457763672
2023-02-21,104.18000030517578,385.83172607421875,22.8700008392334
2023-02-22,104.58999633789062,385.300048828125,22.290000915527344
2023-02-23,104.5999984741211,387.3495788574219,21.139999389648438
2023-02-24,105.20999908447266,383.2117919921875,21.670000076293945
2023-02-27,104.66999816894531,384.5168762207031,20.950000762939453
2023-02-28,104.87000274658203,383.0957336425781,20.700000762939453
2023-03-01,104.4800033569336,381.626220703125,20.579999923706055
2023-03-02,105.02999877929688,384.5942077636719,19.59000015258789
2023-03-03,104.5199966430664,390.7622985839844,18.489999771118164
2023-03-06,104.3499984741211,391.0329895019531,18.610000610351562
2023-03-07,105.62000274658203,385.0389709472656,19.59000015258789
2023-03-08,105.66000366210938,385.6673889160156,19.110000610351562
2023-03-09,105.30999755859375,378.5518493652344,22.610000610351562
2023-03-10,104.58000183105469,373.08953857421875,24.799999237060547
2023-03-13,103.5999984741211,372.5578918457031,26.520000457763672
2023-03-14,103.5999984741211,378.71624755859375,23.729999542236328
2023-03-15,104.6500015258789,376.34759521484375,26.139999389648438
2023-03-16,104.41999816894531,382.9507141113281,22.989999771118164
2023-03-17,103.70999908447266,378.47296142578125,25.510000228881836
2023-03-20,103.27999877929688,382.1122131347656,24.149999618530273
2023-03-21,103.26000213623047,387.1295166015625,21.3799991607666
2023-03-22,102.3499984741211,380.53033447265625,22.260000228881836
2023-03-23,102.52999877929688,381.5591125488281,22.610000610351562
2023-03-24,103.12000274658203,384.0628967285156,21.739999771118164
2023-03-27,102.86000061035156,384.781005859375,20.600000381469727
2023-03-28,102.43000030517578,383.91729736328125,19.969999313354492
2023-03-29,102.63999938964844,389.49749755859375,19.1200008392334
2023-03-30,102.13999938964844,391.7781066894531,19.020000457763672
2023-03-31,102.51000213623047,397.3000793457031,18.700000762939453
2023-04-03,102.08999633789062,398.81402587890625,18.549999237060547
2023-04-04,101.58999633789062,396.6013488769531,19.0
2023-04-05,101.8499984741211,395.56292724609375,19.079999923706055
2023-04-06,101.81999969482422,397.1059875488281,18.399999618530273
2023-04-10,102.58000183105469,397.5135803222656,18.969999313354492
2023-04-11,102.19999694824219,397.6203308105469,19.100000381469727
2023-04-12,101.5,395.9996337890625,19.09000015258789
2023-04-13,101.01000213623047,401.2596130371094,17.799999237060547
2023-04-14,101.55000305175781,400.2793884277344,17.06999969482422
2023-04-17,102.0999984741211,401.7156677246094,16.950000762939453
2023-04-18,101.75,401.9777526855469,16.829999923706055
2023-04-19,101.97000122070312,401.90985107421875,16.459999084472656
2023-04-20,101.83999633789062,399.716552734375,17.170000076293945
2023-04-21,101.81999969482422,400.0270690917969,16.770000457763672
2023-04-24,101.3499984741211,400.4444274902344,16.889999389648438
2023-04-25,101.86000061035156,394.0877990722656,18.760000228881836
2023-04-26,101.47000122070312,392.4185791015625,18.84000015258789
2023-04-27,101.5,400.23089599609375,17.030000686645508
2023-04-28,101.66999816894531,403.6469421386719,15.779999732971191
2023-05-01,102.1500015258789,403.23931884765625,16.079999923706055
2023-05-02,101.95999908447266,398.7072448730469,17.780000686645508
2023-05-03,101.33999633789062,395.9704895019531,18.34000015258789
2023-05-04,101.4000015258789,393.1658630371094,20.09000015258789
2023-05-05,101.20999908447266,400.4444274902344,17.190000534057617
2023-05-08,101.37000274658203,400.55108642578125,16.979999542236328
2023-05-09,101.63999938964844,398.7945861816406,17.709999084472656
2023-05-10,101.4800033569336,400.6578674316406,16.940000534057617
2023-05-11,102.05999755859375,399.9591369628906,16.93000030517578
2023-05-12,102.68000030517578,399.43511962890625,17.030000686645508
