info,symbol,fundingRate,timestamp,datetime
"{'formulaType': 'withRate', 'fundingRate': '0.0001', 'fundingTime': '1755100800000', 'instId': 'ETH-USDT-SWAP', 'instType': 'SWAP', 'method': 'current_period', 'realizedRate': '0.0001'}",ETH/USDT:USDT,0.0001,2025-08-13 16:00:00,2025-08-13T16:00:00.000Z
"{'formulaType': 'withRate', 'fundingRate': '0.0001', 'fundingTime': '1755129600000', 'instId': 'ETH-USDT-SWAP', 'instType': 'SWAP', 'method': 'current_period', 'realizedRate': '0.0001'}",ETH/USDT:USDT,0.0001,2025-08-14 00:00:00,2025-08-14T00:00:00.000Z
"{'formulaType': 'withRate', 'fundingRate': '0.0001', 'fundingTime': '1755158400000', 'instId': 'ETH-USDT-SWAP', 'instType': 'SWAP', 'method': 'current_period', 'realizedRate': '0.0001'}",ETH/USDT:USDT,0.0001,2025-08-14 08:00:00,2025-08-14T08:00:00.000Z
"{'formulaType': 'withRate', 'fundingRate': '0.0001', 'fundingTime': '1755187200000', 'instId': 'ETH-USDT-SWAP', 'instType': 'SWAP', 'method': 'current_period', 'realizedRate': '0.0001'}",ETH/USDT:USDT,0.0001,2025-08-14 16:00:00,2025-08-14T16:00:00.000Z
"{'formulaType': 'withRate', 'fundingRate': '0.0001', 'fundingTime': '1755216000000', 'instId': 'ETH-USDT-SWAP', 'instType': 'SWAP', 'method': 'current_period', 'realizedRate': '0.0001'}",ETH/USDT:USDT,0.0001,2025-08-15 00:00:00,2025-08-15T00:00:00.000Z
"{'formulaType': 'withRate', 'fundingRate': '0.0001', 'fundingTime': '1755244800000', 'instId': 'ETH-USDT-SWAP', 'instType': 'SWAP', 'method': 'current_period', 'realizedRate': '0.0001'}",ETH/USDT:USDT,0.0001,2025-08-15 08:00:00,2025-08-15T08:00:00.000Z
"{'formulaType': 'withRate', 'fundingRate': '0.0001', 'fundingTime': '1755273600000', 'instId': 'ETH-USDT-SWAP', 'instType': 'SWAP', 'method': 'current_period', 'realizedRate': '0.0001'}",ETH/USDT:USDT,0.0001,2025-08-15 16:00:00,2025-08-15T16:00:00.000Z
"{'formulaType': 'withRate', 'fundingRate': '0.0001', 'fundingTime': '1755302400000', 'instId': 'ETH-USDT-SWAP', 'instType': 'SWAP', 'method': 'current_period', 'realizedRate': '0.0001'}",ETH/USDT:USDT,0.0001,2025-08-16 00:00:00,2025-08-16T00:00:00.000Z
"{'formulaType': 'withRate', 'fundingRate': '0.0001', 'fundingTime': '1755331200000', 'instId': 'ETH-USDT-SWAP', 'instType': 'SWAP', 'method': 'current_period', 'realizedRate': '0.0001'}",ETH/USDT:USDT,0.0001,2025-08-16 08:00:00,2025-08-16T08:00:00.000Z
"{'formulaType': 'withRate', 'fundingRate': '0.0001', 'fundingTime': '1755360000000', 'instId': 'ETH-USDT-SWAP', 'instType': 'SWAP', 'method': 'current_period', 'realizedRate': '0.0001'}",ETH/USDT:USDT,0.0001,2025-08-16 16:00:00,2025-08-16T16:00:00.000Z
"{'formulaType': 'withRate', 'fundingRate': '0.0000578041075078', 'fundingTime': '1755388800000', 'instId': 'ETH-USDT-SWAP', 'instType': 'SWAP', 'method': 'current_period', 'realizedRate': '0.0000578041075078'}",ETH/USDT:USDT,5.78041075078e-05,2025-08-17 00:00:00,2025-08-17T00:00:00.000Z
"{'formulaType': 'withRate', 'fundingRate': '0.0000033737617807', 'fundingTime': '1755417600000', 'instId': 'ETH-USDT-SWAP', 'instType': 'SWAP', 'method': 'current_period', 'realizedRate': '0.0000033737617807'}",ETH/USDT:USDT,3.3737617807e-06,2025-08-17 08:00:00,2025-08-17T08:00:00.000Z
"{'formulaType': 'withRate', 'fundingRate': '0.0000497089712011', 'fundingTime': '1755446400000', 'instId': 'ETH-USDT-SWAP', 'instType': 'SWAP', 'method': 'current_period', 'realizedRate': '0.0000497089712011'}",ETH/USDT:USDT,4.97089712011e-05,2025-08-17 16:00:00,2025-08-17T16:00:00.000Z
"{'formulaType': 'withRate', 'fundingRate': '0.0000560064923358', 'fundingTime': '1755475200000', 'instId': 'ETH-USDT-SWAP', 'instType': 'SWAP', 'method': 'current_period', 'realizedRate': '0.0000560064923358'}",ETH/USDT:USDT,5.60064923358e-05,2025-08-18 00:00:00,2025-08-18T00:00:00.000Z
"{'formulaType': 'withRate', 'fundingRate': '0.0000951682926315', 'fundingTime': '1755504000000', 'instId': 'ETH-USDT-SWAP', 'instType': 'SWAP', 'method': 'current_period', 'realizedRate': '0.0000951682926315'}",ETH/USDT:USDT,9.51682926315e-05,2025-08-18 08:00:00,2025-08-18T08:00:00.000Z
"{'formulaType': 'withRate', 'fundingRate': '0.0001', 'fundingTime': '1755532800000', 'instId': 'ETH-USDT-SWAP', 'instType': 'SWAP', 'method': 'current_period', 'realizedRate': '0.0001'}",ETH/USDT:USDT,0.0001,2025-08-18 16:00:00,2025-08-18T16:00:00.000Z
"{'formulaType': 'withRate', 'fundingRate': '0.0001', 'fundingTime': '1755561600000', 'instId': 'ETH-USDT-SWAP', 'instType': 'SWAP', 'method': 'current_period', 'realizedRate': '0.0001'}",ETH/USDT:USDT,0.0001,2025-08-19 00:00:00,2025-08-19T00:00:00.000Z
"{'formulaType': 'withRate', 'fundingRate': '0.0001', 'fundingTime': '1755590400000', 'instId': 'ETH-USDT-SWAP', 'instType': 'SWAP', 'method': 'current_period', 'realizedRate': '0.0001'}",ETH/USDT:USDT,0.0001,2025-08-19 08:00:00,2025-08-19T08:00:00.000Z
"{'formulaType': 'withRate', 'fundingRate': '0.0001', 'fundingTime': '1755619200000', 'instId': 'ETH-USDT-SWAP', 'instType': 'SWAP', 'method': 'current_period', 'realizedRate': '0.0001'}",ETH/USDT:USDT,0.0001,2025-08-19 16:00:00,2025-08-19T16:00:00.000Z
"{'formulaType': 'withRate', 'fundingRate': '0.0001', 'fundingTime': '1755648000000', 'instId': 'ETH-USDT-SWAP', 'instType': 'SWAP', 'method': 'current_period', 'realizedRate': '0.0001'}",ETH/USDT:USDT,0.0001,2025-08-20 00:00:00,2025-08-20T00:00:00.000Z
"{'formulaType': 'withRate', 'fundingRate': '0.0001', 'fundingTime': '1755676800000', 'instId': 'ETH-USDT-SWAP', 'instType': 'SWAP', 'method': 'current_period', 'realizedRate': '0.0001'}",ETH/USDT:USDT,0.0001,2025-08-20 08:00:00,2025-08-20T08:00:00.000Z
"{'formulaType': 'withRate', 'fundingRate': '0.0001', 'fundingTime': '1755705600000', 'instId': 'ETH-USDT-SWAP', 'instType': 'SWAP', 'method': 'current_period', 'realizedRate': '0.0001'}",ETH/USDT:USDT,0.0001,2025-08-20 16:00:00,2025-08-20T16:00:00.000Z
"{'formulaType': 'withRate', 'fundingRate': '0.0000451851453741', 'fundingTime': '1755734400000', 'instId': 'ETH-USDT-SWAP', 'instType': 'SWAP', 'method': 'current_period', 'realizedRate': '0.0000451851453741'}",ETH/USDT:USDT,4.51851453741e-05,2025-08-21 00:00:00,2025-08-21T00:00:00.000Z
"{'formulaType': 'withRate', 'fundingRate': '0.0000533742507513', 'fundingTime': '1755763200000', 'instId': 'ETH-USDT-SWAP', 'instType': 'SWAP', 'method': 'current_period', 'realizedRate': '0.0000533742507513'}",ETH/USDT:USDT,5.33742507513e-05,2025-08-21 08:00:00,2025-08-21T08:00:00.000Z
"{'formulaType': 'withRate', 'fundingRate': '0.0001', 'fundingTime': '1755792000000', 'instId': 'ETH-USDT-SWAP', 'instType': 'SWAP', 'method': 'current_period', 'realizedRate': '0.0001'}",ETH/USDT:USDT,0.0001,2025-08-21 16:00:00,2025-08-21T16:00:00.000Z
"{'formulaType': 'withRate', 'fundingRate': '0.0001', 'fundingTime': '1755820800000', 'instId': 'ETH-USDT-SWAP', 'instType': 'SWAP', 'method': 'current_period', 'realizedRate': '0.0001'}",ETH/USDT:USDT,0.0001,2025-08-22 00:00:00,2025-08-22T00:00:00.000Z
"{'formulaType': 'withRate', 'fundingRate': '0.0001', 'fundingTime': '1755849600000', 'instId': 'ETH-USDT-SWAP', 'instType': 'SWAP', 'method': 'current_period', 'realizedRate': '0.0001'}",ETH/USDT:USDT,0.0001,2025-08-22 08:00:00,2025-08-22T08:00:00.000Z
"{'formulaType': 'withRate', 'fundingRate': '0.0001', 'fundingTime': '1755878400000', 'instId': 'ETH-USDT-SWAP', 'instType': 'SWAP', 'method': 'current_period', 'realizedRate': '0.0001'}",ETH/USDT:USDT,0.0001,2025-08-22 16:00:00,2025-08-22T16:00:00.000Z
"{'formulaType': 'withRate', 'fundingRate': '0.0001', 'fundingTime': '1755907200000', 'instId': 'ETH-USDT-SWAP', 'instType': 'SWAP', 'method': 'current_period', 'realizedRate': '0.0001'}",ETH/USDT:USDT,0.0001,2025-08-23 00:00:00,2025-08-23T00:00:00.000Z
"{'formulaType': 'withRate', 'fundingRate': '0.0001', 'fundingTime': '1755936000000', 'instId': 'ETH-USDT-SWAP', 'instType': 'SWAP', 'method': 'current_period', 'realizedRate': '0.0001'}",ETH/USDT:USDT,0.0001,2025-08-23 08:00:00,2025-08-23T08:00:00.000Z
"{'formulaType': 'withRate', 'fundingRate': '0.0001', 'fundingTime': '1755964800000', 'instId': 'ETH-USDT-SWAP', 'instType': 'SWAP', 'method': 'current_period', 'realizedRate': '0.0001'}",ETH/USDT:USDT,0.0001,2025-08-23 16:00:00,2025-08-23T16:00:00.000Z
"{'formulaType': 'withRate', 'fundingRate': '0.0001', 'fundingTime': '1755993600000', 'instId': 'ETH-USDT-SWAP', 'instType': 'SWAP', 'method': 'current_period', 'realizedRate': '0.0001'}",ETH/USDT:USDT,0.0001,2025-08-24 00:00:00,2025-08-24T00:00:00.000Z
"{'formulaType': 'withRate', 'fundingRate': '0.0001', 'fundingTime': '1756022400000', 'instId': 'ETH-USDT-SWAP', 'instType': 'SWAP', 'method': 'current_period', 'realizedRate': '0.0001'}",ETH/USDT:USDT,0.0001,2025-08-24 08:00:00,2025-08-24T08:00:00.000Z
"{'formulaType': 'withRate', 'fundingRate': '0.0001', 'fundingTime': '1756051200000', 'instId': 'ETH-USDT-SWAP', 'instType': 'SWAP', 'method': 'current_period', 'realizedRate': '0.0001'}",ETH/USDT:USDT,0.0001,2025-08-24 16:00:00,2025-08-24T16:00:00.000Z
"{'formulaType': 'withRate', 'fundingRate': '0.0001', 'fundingTime': '1756080000000', 'instId': 'ETH-USDT-SWAP', 'instType': 'SWAP', 'method': 'current_period', 'realizedRate': '0.0001'}",ETH/USDT:USDT,0.0001,2025-08-25 00:00:00,2025-08-25T00:00:00.000Z
"{'formulaType': 'withRate', 'fundingRate': '0.0001', 'fundingTime': '1756108800000', 'instId': 'ETH-USDT-SWAP', 'instType': 'SWAP', 'method': 'current_period', 'realizedRate': '0.0001'}",ETH/USDT:USDT,0.0001,2025-08-25 08:00:00,2025-08-25T08:00:00.000Z
"{'formulaType': 'withRate', 'fundingRate': '0.0001', 'fundingTime': '1756137600000', 'instId': 'ETH-USDT-SWAP', 'instType': 'SWAP', 'method': 'current_period', 'realizedRate': '0.0001'}",ETH/USDT:USDT,0.0001,2025-08-25 16:00:00,2025-08-25T16:00:00.000Z
"{'formulaType': 'withRate', 'fundingRate': '0.0000594321077287', 'fundingTime': '1756166400000', 'instId': 'ETH-USDT-SWAP', 'instType': 'SWAP', 'method': 'current_period', 'realizedRate': '0.0000594321077287'}",ETH/USDT:USDT,5.94321077287e-05,2025-08-26 00:00:00,2025-08-26T00:00:00.000Z
"{'formulaType': 'withRate', 'fundingRate': '-0.0000159582757093', 'fundingTime': '1756195200000', 'instId': 'ETH-USDT-SWAP', 'instType': 'SWAP', 'method': 'current_period', 'realizedRate': '-0.0000159582757093'}",ETH/USDT:USDT,-1.59582757093e-05,2025-08-26 08:00:00,2025-08-26T08:00:00.000Z
"{'formulaType': 'withRate', 'fundingRate': '-0.0000146630379648', 'fundingTime': '1756224000000', 'instId': 'ETH-USDT-SWAP', 'instType': 'SWAP', 'method': 'current_period', 'realizedRate': '-0.0000146630379648'}",ETH/USDT:USDT,-1.46630379648e-05,2025-08-26 16:00:00,2025-08-26T16:00:00.000Z
"{'formulaType': 'withRate', 'fundingRate': '-0.0000570754190311', 'fundingTime': '1756252800000', 'instId': 'ETH-USDT-SWAP', 'instType': 'SWAP', 'method': 'current_period', 'realizedRate': '-0.0000570754190311'}",ETH/USDT:USDT,-5.70754190311e-05,2025-08-27 00:00:00,2025-08-27T00:00:00.000Z
"{'formulaType': 'withRate', 'fundingRate': '0.000025226878375', 'fundingTime': '1756281600000', 'instId': 'ETH-USDT-SWAP', 'instType': 'SWAP', 'method': 'current_period', 'realizedRate': '0.000025226878375'}",ETH/USDT:USDT,2.5226878375e-05,2025-08-27 08:00:00,2025-08-27T08:00:00.000Z
