timestamp,open,high,low,close,volume
2025-08-07,168.02,175.42,166.63,175.29,7832993.7
2025-08-08,175.29,179.61,173.3,176.71,8190158.38
2025-08-09,176.71,183.46,176.54,179.9,7346845.15
2025-08-10,179.9,186.16,177.42,182.64,9450253.6
2025-08-11,182.64,186.79,173.33,174.75,11598715.16
2025-08-12,174.75,193.8,173.5,191.8,13928480.3
2025-08-13,191.79,205.07,191.49,201.55,17155745.59
2025-08-14,201.55,210.06,186.55,192.4,23682752.9
2025-08-15,192.4,197.97,183.17,185.63,12332294.54
2025-08-16,185.62,189.95,185.08,189.49,5927740.67
2025-08-17,189.49,195.75,187.24,190.91,7007655.23
2025-08-18,190.92,191.24,179.74,182.82,9889987.53
2025-08-19,182.83,185.78,175.57,176.12,9678971.9
2025-08-20,176.12,187.9,175.92,187.86,9617314.79
2025-08-21,187.87,190.06,179.28,180.21,8775353.08
2025-08-22,180.22,202.46,177.11,200.68,15885592.57
2025-08-23,200.69,208.78,195.26,204.25,9648156.5
2025-08-24,204.25,212.15,201.13,206.06,16138135.03
2025-08-25,206.06,213.69,185.14,187.07,18847475.13
2025-08-26,187.07,198.13,185.44,195.82,9734591.8
2025-08-27,195.83,212.14,193.73,202.96,18342693.88
2025-08-28,202.97,216.92,201.67,214.36,17237761.8
2025-08-29,214.35,217.94,199.75,204.96,22283496.64
2025-08-30,204.96,206.93,197.42,202.59,8711923.29
2025-08-31,202.59,206.55,200.19,200.55,6903797.63
2025-09-01,200.54,204.46,194.06,197.2,10263159.14
2025-09-02,197.2,209.63,196.65,209.52,12939555.96
2025-09-03,209.53,212.98,207.3,210.61,9879436.77
2025-09-04,210.61,211.84,201.72,202.23,8784873.91
2025-09-05,202.23,209.94,200.82,202.28,8125178.51
