timestamp,open,high,low,close,volume
2025-08-07,16.667,18.49,16.574,18.458,8040886.5
2025-08-08,18.459,19.97,18.074,19.882,15060378.5
2025-08-09,19.883,21.981,19.775,21.935,14073453.4
2025-08-10,21.936,22.7,21.152,22.061,16838082.5
2025-08-11,22.061,22.603,20.84,21.064,13588649.1
2025-08-12,21.065,24.193,20.992,23.598,16355852.9
2025-08-13,23.597,24.723,23.225,23.964,17817085.9
2025-08-14,23.966,24.316,21.446,22.449,20481839.8
2025-08-15,22.448,23.039,21.355,21.74,9864890.6
2025-08-16,21.738,22.959,21.385,22.622,6865625.9
2025-08-17,22.624,26.368,22.353,25.632,26023399.6
2025-08-18,25.632,26.723,24.282,25.76,35473630.3
2025-08-19,25.764,25.794,23.426,23.552,23053491.3
2025-08-20,23.551,26.878,23.356,26.452,27995988.8
2025-08-21,26.45,26.597,24.618,24.805,19862362.7
2025-08-22,24.804,27.865,24.109,26.798,27411456.0
2025-08-23,26.8,26.837,25.51,26.278,10597713.1
2025-08-24,26.278,26.614,25.211,25.82,13159723.5
2025-08-25,25.819,26.461,23.082,23.378,16366097.7
2025-08-26,23.379,24.736,22.868,24.367,12793294.3
2025-08-27,24.367,24.677,23.58,23.777,11710681.9
2025-08-28,23.775,26.028,23.561,25.168,17465915.2
2025-08-29,25.168,25.219,23.102,23.408,13103089.8
2025-08-30,23.409,23.516,22.805,23.493,5089301.2
2025-08-31,23.492,24.052,23.174,23.191,5017392.0
2025-09-01,23.19,23.852,22.057,22.506,8352907.2
2025-09-02,22.505,23.593,22.336,23.487,7606919.4
2025-09-03,23.488,23.906,23.211,23.686,4109148.9
2025-09-04,23.688,23.953,22.174,22.303,5164144.9
2025-09-05,22.301,23.234,22.177,22.252,5171011.9
