timestamp,open,high,low,close,volume
2022-12-31,16612.4,16648.9,16470.1,16544.8,22731.84
2023-01-01,16545.9,16626.9,16503.5,16614.9,18046.05
2023-01-02,16614.8,16805.0,16545.9,16673.1,39206.7
2023-01-03,16673.2,16777.0,16611.4,16678.2,36248.23
2023-01-04,16678.3,16988.9,16656.0,16850.6,67640.65
2023-01-05,16850.7,16881.0,16755.9,16834.4,35524.77
2023-01-06,16834.3,17036.0,16675.3,16944.6,56351.4
2023-01-07,16944.6,16981.2,16910.7,16946.8,15480.78
2023-01-08,16946.8,17189.5,16911.0,17129.9,33039.16
2023-01-09,17129.9,17399.7,17105.1,17180.9,77153.44
2023-01-10,17180.5,17487.9,17151.8,17437.0,55058.9
2023-01-11,17437.0,18005.3,17319.9,17943.0,74082.79
2023-01-12,17943.0,19126.2,17906.0,18842.5,204383.37
2023-01-13,18842.4,20035.9,18713.9,19928.8,177653.21
2023-01-14,19928.9,21555.0,19890.3,20955.8,244135.14
2023-01-15,20955.8,21062.5,20555.0,20873.5,92692.3
2023-01-16,20873.4,21490.0,20593.0,21187.2,146646.97
2023-01-17,21187.1,21650.0,20830.0,21127.4,131164.49
2023-01-18,21127.3,21666.0,20400.0,20679.1,192291.21
2023-01-19,20679.1,21188.0,20659.5,21071.4,62787.94
2023-01-20,21071.0,22793.4,20863.1,22667.0,128878.3
2023-01-21,22667.0,23388.0,22425.3,22788.0,164030.15
2023-01-22,22788.1,23079.6,22300.0,22713.3,92242.95
2023-01-23,22713.3,23186.6,22491.5,22917.1,108702.18
2023-01-24,22916.1,23170.1,22450.0,22633.0,107836.38
2023-01-25,22633.0,23833.0,22335.0,23061.4,138014.69
2023-01-26,23061.3,23280.0,22850.0,23008.9,91792.76
2023-01-27,23007.7,23524.2,22520.2,23075.1,111550.27
2023-01-28,23075.0,23187.9,22880.0,23026.6,39462.4
2023-01-29,23026.5,23977.3,22971.4,23742.0,121354.47
2023-01-30,23742.1,23800.0,22460.0,22826.0,115756.66
2023-01-31,22826.1,23360.0,22720.0,23135.7,76111.51
2023-02-01,23133.6,23873.1,22750.9,23734.2,105752.48
2023-02-02,23734.2,24280.0,23352.3,23488.0,131779.71
2023-02-03,23488.0,23723.3,23204.1,23429.8,89639.52
2023-02-04,23429.8,23590.0,23254.0,23324.0,42591.56
2023-02-05,23323.9,23437.0,22750.0,22936.0,72726.53
2023-02-06,22936.1,23165.6,22612.0,22759.6,81192.51
2023-02-07,22759.9,23357.1,22739.9,23240.7,92347.42
2023-02-08,23240.7,23470.1,22670.2,22966.0,76865.72
2023-02-09,22966.0,23016.6,21698.0,21802.1,164818.2
2023-02-10,21802.1,21940.0,21400.0,21624.2,96313.15
2023-02-11,21624.1,21899.0,21602.8,21860.2,35559.21
2023-02-12,21860.3,22088.0,21631.4,21784.7,60366.59
2023-02-13,21785.9,21898.0,21345.9,21779.3,111400.58
2023-02-14,21778.3,22322.6,21544.0,22196.8,127822.24
2023-02-15,22195.5,24400.0,22045.0,24335.7,184493.14
2023-02-16,24335.7,25251.2,23490.0,23499.0,221008.54
2023-02-17,23499.0,25039.0,23333.0,24579.2,226096.42
2023-02-18,24574.5,24887.1,24422.2,24632.7,65922.97
2023-02-19,24632.7,25200.0,24177.6,24276.5,134362.01
2023-02-20,24275.4,25149.9,23832.5,24845.0,161324.94
2023-02-21,24845.0,25333.0,24142.8,24455.0,179799.03
2023-02-22,24454.4,24475.7,23573.0,24187.5,157604.09
2023-02-23,24187.5,24598.0,23602.3,23940.8,177944.41
2023-02-24,23940.8,24135.7,22828.0,23192.1,159164.76
2023-02-25,23192.1,23220.0,22722.6,23156.0,73519.65
2023-02-26,23155.3,23695.0,23057.6,23555.1,85863.67
2023-02-27,23556.8,23900.0,23096.5,23489.0,125053.92
2023-02-28,23489.0,23599.8,23027.0,23146.5,101921.97
2023-03-01,23145.4,24022.6,23022.7,23633.9,138128.69
2023-03-02,23633.8,23800.0,23189.1,23466.4,103296.74
2023-03-03,23466.3,23479.7,21877.0,22353.7,155663.74
2023-03-04,22353.7,22408.0,22168.1,22351.8,36397.6
2023-03-05,22351.8,22669.6,22178.5,22433.7,65169.89
2023-03-06,22433.6,22599.0,22250.0,22407.4,72654.39
2023-03-07,22407.4,22555.0,21927.0,22200.5,138740.84
2023-03-08,22200.5,22290.4,21566.3,21712.7,147715.39
2023-03-09,21712.6,21828.0,20028.7,20360.8,255883.46
2023-03-10,20360.6,20363.5,19525.0,20155.8,307311.59
2023-03-11,20155.8,20686.5,19766.4,20455.0,189898.63
2023-03-12,20455.0,22200.0,20268.3,21994.9,191014.31
2023-03-13,21995.0,24537.3,21811.3,24106.7,378501.12
2023-03-14,24110.1,26489.7,23953.4,24667.1,406377.1
2023-03-15,24667.2,25221.0,23850.0,24289.7,292658.32
2023-03-16,24283.9,25199.8,24126.3,25002.9,197121.05
2023-03-17,25000.4,27778.3,24900.0,27394.8,369082.35
2023-03-18,27394.8,27727.1,26560.0,26906.7,191887.82
2023-03-19,26910.0,28400.0,26830.9,27964.9,214193.4
2023-03-20,27964.9,28498.0,27132.7,27710.0,246752.1
2023-03-21,27709.9,28460.0,27300.0,28102.4,176071.06
2023-03-22,28102.3,28910.1,26602.6,27247.4,295425.5
2023-03-23,27247.3,28784.8,27113.6,28300.1,224059.89
2023-03-24,28301.9,28378.1,26960.3,27455.2,185120.71
2023-03-25,27455.2,27800.6,27150.1,27466.1,80968.81
2023-03-26,27466.1,28221.7,27415.2,27964.4,105761.37
2023-03-27,27964.4,28027.9,26501.0,27125.3,173438.91
2023-03-28,27125.3,27525.0,26620.5,27265.2,151604.24
2023-03-29,27265.2,28650.0,27243.4,28350.3,182980.81
2023-03-30,28349.0,29189.8,27678.0,28029.8,214859.79
2023-03-31,28029.7,28682.8,27500.0,28460.8,165660.73
2023-04-01,28460.8,28845.2,28211.1,28456.4,69948.32
2023-04-02,28455.5,28530.0,27848.0,28171.5,88124.17
2023-04-03,28171.5,28583.2,27192.6,27800.9,214314.33
2023-04-04,27800.8,28448.0,27661.5,28169.6,124430.43
2023-04-05,28169.6,28796.9,27800.0,28172.0,161818.57
2023-04-06,28172.0,28187.0,27688.0,28034.8,102956.09
2023-04-07,28034.8,28109.4,27768.0,27910.7,62120.97
2023-04-08,27910.8,28160.0,27860.0,27940.4,46646.46
2023-04-09,27940.4,28540.0,27783.8,28325.5,82994.8
2023-04-10,28325.6,29850.0,28160.4,29640.0,177070.22
2023-04-11,29640.0,30587.4,29592.7,30196.1,201516.82
2023-04-12,30196.0,30475.0,29640.0,29895.1,182682.75
2023-04-13,29895.1,30599.8,29859.4,30378.3,137482.0
2023-04-14,30378.4,31068.2,29969.0,30466.1,182793.54
2023-04-15,30466.0,30608.7,30211.0,30293.8,45114.27
2023-04-16,30293.7,30574.5,30120.0,30307.8,56302.07
2023-04-17,30303.0,30318.6,29232.0,29425.0,131603.36
2023-04-18,29425.0,30498.9,29091.5,30383.8,167435.51
2023-04-19,30383.8,30413.1,28551.3,28810.0,209418.99
2023-04-20,28810.0,29084.0,27996.0,28252.8,178605.73
2023-04-21,28253.5,28379.0,27110.0,27265.0,182018.16
2023-04-22,27265.0,27889.0,27145.0,27810.0,85786.89
2023-04-23,27813.0,27813.0,27305.0,27591.3,90527.95
2023-04-24,27591.2,27999.0,26910.0,27515.8,169469.88
2023-04-25,27515.8,28388.0,27184.3,28295.4,141628.27
2023-04-26,28295.5,30084.7,27199.9,28417.1,385073.01
2023-04-27,28417.4,29909.0,28383.1,29480.3,256703.24
2023-04-28,29480.4,29598.0,28880.0,29307.2,157297.66
2023-04-29,29307.2,29444.4,29014.1,29231.4,65869.22
2023-04-30,29231.3,29972.1,29091.0,29245.9,129343.45
2023-05-01,29242.4,29344.0,27666.0,28077.2,194105.32
2023-05-02,28077.2,28886.0,27867.1,28669.5,146547.87
2023-05-03,28669.5,29283.1,28101.1,29036.4,183317.33
2023-05-04,29038.9,29393.8,28669.4,28840.0,117894.02
