instrument_name,funding_rate,funding_time
A-USDT-SWAP,0.00005,1754193600000
A-USDT-SWAP,0.00005,1754208000000
A-USDT-SWAP,-0.0000752213491213,1754222400000
A-USDT-SWAP,0.00005,1754236800000
A-USDT-SWAP,0.00005,1754251200000
A-USDT-SWAP,0.00005,1754265600000
A-USDT-SWAP,0.00005,1754280000000
A-USDT-SWAP,0.00005,1754294400000
A-USDT-SWAP,0.0000176556443548,1754308800000
A-USDT-SWAP,-0.0000203836117142,1754323200000
A-USDT-SWAP,0.00005,1754337600000
A-USDT-SWAP,0.00005,1754352000000
A-USDT-SWAP,0.00005,1754366400000
A-USDT-SWAP,-0.0000717283684533,1754380800000
A-USDT-SWAP,0.00005,1754395200000
A-USDT-SWAP,0.00005,1754409600000
A-USDT-SWAP,-0.0000307854235911,1754424000000
A-USDT-SWAP,0.00005,1754438400000
A-USDT-SWAP,0.00005,1754452800000
A-USDT-SWAP,0.00005,1754467200000
A-USDT-SWAP,0.00005,1754481600000
A-USDT-SWAP,0.00005,1754496000000
A-USDT-SWAP,0.00005,1754510400000
A-USDT-SWAP,0.00005,1754524800000
A-USDT-SWAP,0.00005,1754539200000
A-USDT-SWAP,0.00005,1754553600000
A-USDT-SWAP,0.00005,1754568000000
A-USDT-SWAP,0.00005,1754582400000
A-USDT-SWAP,0.00005,1754596800000
A-USDT-SWAP,0.00005,1754611200000
A-USDT-SWAP,0.00005,1754625600000
A-USDT-SWAP,0.00005,1754640000000
A-USDT-SWAP,0.00005,1754654400000
A-USDT-SWAP,0.00005,1754668800000
A-USDT-SWAP,0.00005,1754683200000
A-USDT-SWAP,0.00005,1754697600000
A-USDT-SWAP,0.00005,1754712000000
A-USDT-SWAP,0.00005,1754726400000
A-USDT-SWAP,0.00005,1754740800000
A-USDT-SWAP,0.00005,1754755200000
A-USDT-SWAP,0.00005,1754769600000
A-USDT-SWAP,0.00005,1754784000000
A-USDT-SWAP,0.00005,1754798400000
A-USDT-SWAP,0.00005,1754812800000
A-USDT-SWAP,0.00005,1754827200000
A-USDT-SWAP,0.00005,1754841600000
A-USDT-SWAP,0.00005,1754856000000
A-USDT-SWAP,0.00005,1754870400000
A-USDT-SWAP,0.00005,1754884800000
A-USDT-SWAP,0.00005,1754899200000
A-USDT-SWAP,0.00005,1754913600000
A-USDT-SWAP,0.00005,1754928000000
A-USDT-SWAP,0.00005,1754942400000
A-USDT-SWAP,0.00005,1754956800000
A-USDT-SWAP,0.00005,1754971200000
A-USDT-SWAP,0.00005,1754985600000
A-USDT-SWAP,0.00005,1755000000000
A-USDT-SWAP,0.00005,1755014400000
A-USDT-SWAP,0.00005,1755028800000
A-USDT-SWAP,0.00005,1755043200000
A-USDT-SWAP,0.00005,1755057600000
A-USDT-SWAP,0.00005,1755072000000
A-USDT-SWAP,0.00005,1755086400000
A-USDT-SWAP,0.00005,1755100800000
